   X ,   Y ,   Z ,  X0 ,  Y0 ,  Z0 ,   R ,   U ,   V ,   W ,  CN ,  F1 ,  F2 ,  F3
   0.884840E+01 ,   0.315344E+01 ,   0.113117E+01 ,      8.85 ,      3.15 ,      1.13 ,       1.131178 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   1 ,   0.665593E-10 ,  -0.379984E-11 ,  -0.678206E-02
   0.105165E+02 ,   0.102194E+01 ,   0.102192E+01 ,     10.52 ,      1.02 ,      1.02 ,       1.021963 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,   0.167203E-01 ,   0.882897E+00 ,   0.581258E+00
   0.160895E+02 ,   0.105510E+01 ,   0.294056E+01 ,     16.09 ,      1.06 ,      2.94 ,       1.027162 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.421595E+00 ,  -0.264787E-01 ,   0.431467E+00
   0.148806E+02 ,   0.100468E+01 ,   0.100469E+01 ,     14.88 ,      1.00 ,      1.00 ,       1.004705 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.134194E+00 ,   0.727719E+00 ,   0.741594E-01
   0.153323E+02 ,   0.312362E+01 ,   0.116799E+01 ,     15.33 ,      3.12 ,      1.17 ,       1.168017 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.882160E-01 ,  -0.605112E-01 ,   0.251262E+00
   0.170101E+02 ,   0.108083E+01 ,   0.106359E+01 ,     17.01 ,      1.08 ,      1.06 ,       1.063642 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.173101E+00 ,  -0.493438E-02 ,   0.726652E+00
   0.206086E+02 ,   0.103044E+01 ,   0.103041E+01 ,     20.61 ,      1.03 ,      1.03 ,       1.030464 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.240131E+00 ,   0.556358E+00 ,   0.601731E+00
   0.217426E+02 ,   0.281422E+01 ,   0.101940E+01 ,     21.74 ,      2.81 ,      1.02 ,       1.019416 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,   0.653682E-02 ,   0.498830E-01 ,   0.510708E+00
   0.248476E+02 ,   0.101924E+01 ,   0.101815E+01 ,     24.85 ,      1.02 ,      1.02 ,       1.018183 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.149327E+00 ,   0.215688E-01 ,   0.560854E+00
   0.270033E+02 ,   0.114057E+01 ,   0.114010E+01 ,     27.00 ,      1.14 ,      1.14 ,       1.140129 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.167432E-01 ,   0.410680E+00 ,   0.514067E+00
   0.279780E+02 ,   0.347202E+01 ,   0.915181E+00 ,     27.98 ,      3.47 ,      0.92 ,       0.915198 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.395187E+00 ,   0.532933E+00 ,   0.103500E+00
   0.310846E+02 ,   0.940513E+00 ,   0.940494E+00 ,     31.08 ,      0.94 ,      0.94 ,       0.940502 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   1 ,   0.330288E-14 ,   0.281436E-15 ,   0.969685E-03
   0.354974E+02 ,   0.993045E+00 ,   0.992803E+00 ,     35.50 ,      0.99 ,      0.99 ,       0.992811 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   1 ,   0.340751E-14 ,  -0.959546E-15 ,  -0.168425E-02
   0.375537E+02 ,   0.127910E+01 ,   0.107021E+01 ,     37.55 ,      1.28 ,      1.07 ,       1.070225 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.502677E-01 ,   0.397024E+00 ,   0.497903E+00
   0.396152E+02 ,   0.100962E+01 ,   0.100960E+01 ,     39.62 ,      1.01 ,      1.01 ,       1.009643 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,   0.185615E+00 ,   0.509855E+00 ,   0.563013E+00
   0.363356E+02 ,   0.157682E+01 ,   0.268059E+01 ,     36.34 ,      1.58 ,      2.68 ,       0.969025 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.419548E-01 ,   0.167676E+00 ,   0.361863E-01
   0.498818E+02 ,   0.285209E+01 ,   0.111208E+01 ,     49.88 ,      2.85 ,      1.11 ,       1.112086 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   1 ,   0.314653E-14 ,   0.165244E-15 ,  -0.110415E-01
   0.527934E+02 ,   0.971860E+00 ,   0.971844E+00 ,     52.79 ,      0.97 ,      0.97 ,       0.971872 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.285997E+00 ,   0.598660E+00 ,   0.678708E+00
   0.309657E+01 ,   0.113602E+01 ,   0.113602E+01 ,      3.10 ,      1.14 ,      1.14 ,       1.136070 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   6 ,  -0.114348E-01 ,   0.487945E+00 ,   0.516195E+00
   0.532359E+01 ,   0.109183E+01 ,   0.109180E+01 ,      5.32 ,      1.09 ,      1.09 ,       1.091862 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   6 ,  -0.209382E+00 ,   0.584791E+00 ,   0.106618E+01
   0.957139E+01 ,   0.529292E+01 ,   0.110830E+01 ,      9.57 ,      5.29 ,      1.11 ,       1.108321 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.236280E-01 ,   0.156245E+00 ,   0.902071E+00
   0.122266E+02 ,   0.661700E+01 ,   0.421215E+01 ,     12.23 ,      6.62 ,      4.21 ,       1.083849 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.657802E+00 ,  -0.372154E+00 ,  -0.170548E+00
   0.131968E+02 ,   0.312478E+01 ,   0.946002E+00 ,     13.20 ,      3.12 ,      0.95 ,       0.946017 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.217187E+00 ,   0.181265E+00 ,   0.596623E+00
   0.126657E+02 ,   0.517367E+01 ,   0.280443E+01 ,     12.67 ,      5.17 ,      2.80 ,       0.979579 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.139216E+00 ,   0.265284E+00 ,   0.447394E+00
   0.137542E+02 ,   0.500845E+01 ,   0.101898E+01 ,     13.75 ,      5.01 ,      1.02 ,       1.018999 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.335893E+00 ,  -0.413337E-02 ,   0.341861E+00
   0.172397E+02 ,   0.581318E+01 ,   0.113274E+01 ,     17.24 ,      5.81 ,      1.13 ,       1.132764 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.286546E+00 ,   0.217370E+00 ,   0.328511E+00
   0.196366E+02 ,   0.269672E+01 ,   0.902785E+00 ,     19.64 ,      2.70 ,      0.90 ,       0.902819 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.398287E+00 ,  -0.389634E+00 ,   0.819719E+00
   0.227822E+02 ,   0.103841E+01 ,   0.103842E+01 ,     22.78 ,      1.04 ,      1.04 ,       1.038437 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.109190E+00 ,   0.103478E+01 ,   0.674952E+00
   0.259780E+02 ,   0.308852E+01 ,   0.106254E+01 ,     25.98 ,      3.09 ,      1.06 ,       1.062562 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.482890E+00 ,  -0.537193E+00 ,   0.604750E+00
   0.267955E+02 ,   0.506669E+01 ,   0.107664E+01 ,     26.80 ,      5.07 ,      1.08 ,       1.076655 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.121296E+00 ,  -0.274813E+00 ,  -0.202618E-01
